mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
21,4,122,86,2226,16.5,72,usa,ford pinto runabout
13,8,350,165,4274,12,72,usa,chevrolet impala
14,8,400,175,4385,12,72,usa,pontiac catalina
15,8,318,150,4135,13.5,72,usa,plymouth fury iii
14,8,351,153,4129,13,72,usa,ford galaxie 500
17,8,304,150,3672,11.5,72,usa,amc ambassador sst
11,8,429,208,4633,11,72,usa,mercury marquis
13,8,350,155,4502,13.5,72,usa,buick lesabre custom
12,8,350,160,4456,13.5,72,usa,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,72,usa,chrysler newport royal
15,8,304,150,3892,12.5,72,usa,amc matador (sw)
13,8,307,130,4098,14,72,usa,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,72,usa,ford gran torino (sw)
14,8,318,150,4077,14,72,usa,plymouth satellite custom (sw)
22,4,122,86,2395,16,72,usa,ford pinto (sw)
28,4,98,80,2164,15,72,usa,dodge colt (sw)
13,8,350,175,4100,13,73,usa,buick century 350
14,8,304,150,3672,11.5,73,usa,amc matador
13,8,350,145,3988,13,73,usa,chevrolet malibu
14,8,302,137,4042,14.5,73,usa,ford gran torino
15,8,318,150,3777,12.5,73,usa,dodge coronet custom
12,8,429,198,4952,11.5,73,usa,mercury marquis brougham
13,8,400,150,4464,12,73,usa,chevrolet caprice classic
13,8,351,158,4363,13,73,usa,ford ltd
14,8,318,150,4237,14.5,73,usa,plymouth fury gran sedan
13,8,440,215,4735,11,73,usa,chrysler new yorker brougham
12,8,455,225,4951,11,73,usa,buick electra 225 custom
13,8,360,175,3821,11,73,usa,amc ambassador brougham
18,6,225,105,3121,16.5,73,usa,plymouth valiant
16,6,250,100,3278,18,73,usa,chevrolet nova custom
18,6,232,100,2945,16,73,usa,amc hornet
18,6,250,88,3021,16.5,73,usa,ford maverick
23,6,198,95,2904,16,73,usa,plymouth duster
11,8,400,150,4997,14,73,usa,chevrolet impala
12,8,400,167,4906,12.5,73,usa,ford country
13,8,360,170,4654,13,73,usa,plymouth custom suburb
12,8,350,180,4499,12.5,73,usa,oldsmobile vista cruiser
18,6,232,100,2789,15,73,usa,amc gremlin
21,4,140,72,2401,19.5,73,usa,chevrolet vega
19,4,122,85,2310,18.5,73,usa,ford pinto
21,6,155,107,2472,14,73,usa,mercury capri v6
15,8,350,145,4082,13,73,usa,chevrolet monte carlo s
16,8,400,230,4278,9.5,73,usa,pontiac grand prix
15,8,318,150,3399,11,73,usa,dodge dart custom
11,8,350,180,3664,11,73,usa,oldsmobile omega
20,6,198,95,3102,16.5,74,usa,plymouth duster
19,6,232,100,2901,16,74,usa,amc hornet
15,6,250,100,3336,17,74,usa,chevrolet nova
26,4,122,80,2451,16.5,74,usa,ford pinto
25,4,140,75,2542,17,74,usa,chevrolet vega
16,6,250,100,3781,17,74,usa,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,usa,amc matador
18,6,225,105,3613,16.5,74,usa,plymouth satellite sebring
16,8,302,140,4141,14,74,usa,ford gran torino
13,8,350,150,4699,14.5,74,usa,buick century luxus (sw)
14,8,318,150,4457,13.5,74,usa,dodge coronet custom (sw)
14,8,302,140,4638,16,74,usa,ford gran torino (sw)
14,8,304,150,4257,15.5,74,usa,amc matador (sw)
28,4,90,75,2125,14.5,74,usa,dodge colt
19,6,225,95,3264,16,75,usa,plymouth valiant custom
18,6,250,105,3459,16,75,usa,chevrolet nova
15,6,250,72,3432,21,75,usa,mercury monarch
15,6,250,72,3158,19.5,75,usa,ford maverick
16,8,400,170,4668,11.5,75,usa,pontiac catalina
15,8,350,145,4440,14,75,usa,chevrolet bel air
16,8,318,150,4498,14.5,75,usa,plymouth grand fury
14,8,351,148,4657,13.5,75,usa,ford ltd
17,6,231,110,3907,21,75,usa,buick century
16,6,250,105,3897,18.5,75,usa,chevroelt chevelle malibu
15,6,258,110,3730,19,75,usa,amc matador
18,6,225,95,3785,19,75,usa,plymouth fury
21,6,231,110,3039,15,75,usa,buick skyhawk
20,8,262,110,3221,13.5,75,usa,chevrolet monza 2+2
13,8,302,129,3169,12,75,usa,ford mustang ii
23,4,140,83,2639,17,75,usa,ford pinto
20,6,232,100,2914,16,75,usa,amc gremlin
23,4,140,78,2592,18.5,75,usa,pontiac astro
18,6,171,97,2984,14.5,75,usa,ford pinto
19,6,232,90,3211,17,75,usa,amc pacer
25,4,140,92,2572,14.9,76,usa,capri ii
26,4,98,79,2255,17.7,76,usa,dodge colt
17.5,8,305,140,4215,13,76,usa,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,usa,dodge coronet brougham
15.5,8,304,120,3962,13.9,76,usa,amc matador
14.5,8,351,152,4215,12.8,76,usa,ford gran torino
22,6,225,100,3233,15.4,76,usa,plymouth valiant
22,6,250,105,3353,14.5,76,usa,chevrolet nova
24,6,200,81,3012,17.6,76,usa,ford maverick
22.5,6,232,90,3085,17.6,76,usa,amc hornet
29,4,85,52,2035,22.2,76,usa,chevrolet chevette
24.5,4,98,60,2164,22.1,76,usa,chevrolet woody
20,6,225,100,3651,17.7,76,usa,dodge aspen se
18,6,250,78,3574,21,76,usa,ford granada ghia
18.5,6,250,110,3645,16.2,76,usa,pontiac ventura sj
17.5,6,258,95,3193,17.8,76,usa,amc pacer d/l
26.5,4,140,72,2565,13.6,76,usa,ford pinto
13,8,318,150,3940,13.2,76,usa,plymouth volare premier v8
16.5,8,350,180,4380,12.1,76,usa,cadillac seville
13,8,350,145,4055,12,76,usa,chevy c10
13,8,302,130,3870,15,76,usa,ford f108
13,8,318,150,3755,14,76,usa,dodge d100
30,4,111,80,2155,14.8,77,usa,buick opel isuzu deluxe
25.5,4,122,96,2300,15.5,77,usa,plymouth arrow gs
17.5,8,305,145,3880,12.5,77,usa,chevrolet caprice classic
17,8,260,110,4060,19,77,usa,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.7,77,usa,dodge monaco brougham
15,8,302,130,4295,14.9,77,usa,mercury cougar brougham
17.5,6,250,110,3520,16.4,77,usa,chevrolet concours
20.5,6,231,105,3425,16.9,77,usa,buick skylark
19,6,225,100,3630,17.7,77,usa,plymouth volare custom
18.5,6,250,98,3525,19,77,usa,ford granada
16,8,400,180,4220,11.1,77,usa,pontiac grand prix lj
15.5,8,350,170,4165,11.4,77,usa,chevrolet monte carlo landau
15.5,8,400,190,4325,12.2,77,usa,chrysler cordoba
16,8,351,149,4335,14.5,77,usa,ford thunderbird
24.5,4,151,88,2740,16,77,usa,pontiac sunbird coupe
25.5,4,140,89,2755,15.8,77,usa,ford mustang ii 2+2
30.5,4,98,63,2051,17,77,usa,chevrolet chevette
33.5,4,98,83,2075,15.9,77,usa,dodge colt m/m
36.1,4,98,66,1800,14.4,78,usa,ford fiesta
19.9,8,260,110,3365,15.5,78,usa,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.2,78,usa,dodge diplomat
20.2,8,302,139,3570,12.8,78,usa,mercury monarch ghia
19.2,6,231,105,3535,19.2,78,usa,pontiac phoenix lj
20.5,6,200,95,3155,18.2,78,usa,chevrolet malibu
20.2,6,200,85,2965,15.8,78,usa,ford fairmont (auto)
25.1,4,140,88,2720,15.4,78,usa,ford fairmont (man)
20.5,6,225,100,3430,17.2,78,usa,plymouth volare
19.4,6,232,90,3210,17.2,78,usa,amc concord
20.6,6,231,105,3380,15.8,78,usa,buick century special
20.8,6,200,85,3070,16.7,78,usa,mercury zephyr
18.6,6,225,110,3620,18.7,78,usa,dodge aspen
18.1,6,258,120,3410,15.1,78,usa,amc concord d/l
19.2,8,305,145,3425,13.2,78,usa,chevrolet monte carlo landau
17.7,6,231,165,3445,13.4,78,usa,buick regal sport coupe (turbo)
18.1,8,302,139,3205,11.2,78,usa,ford futura
17.5,8,318,140,4080,13.7,78,usa,dodge magnum xe
30,4,98,68,2155,16.5,78,usa,chevrolet chevette
30.9,4,105,75,2230,14.5,78,usa,dodge omni
23.2,4,156,105,2745,16.7,78,usa,plymouth sapporo
23.8,4,151,85,2855,17.6,78,usa,oldsmobile starfire sx
21.5,6,231,115,3245,15.4,79,usa,pontiac lemans v6
19.8,6,200,85,2990,18.2,79,usa,mercury zephyr 6
22.3,4,140,88,2890,17.3,79,usa,ford fairmont 4
20.2,6,232,90,3265,18.2,79,usa,amc concord dl 6
20.6,6,225,110,3360,16.6,79,usa,dodge aspen 6
17,8,305,130,3840,15.4,79,usa,chevrolet caprice classic
17.6,8,302,129,3725,13.4,79,usa,ford ltd landau
16.5,8,351,138,3955,13.2,79,usa,mercury grand marquis
18.2,8,318,135,3830,15.2,79,usa,dodge st. regis
16.9,8,350,155,4360,14.9,79,usa,buick estate wagon (sw)
15.5,8,351,142,4054,14.3,79,usa,ford country squire (sw)
19.2,8,267,125,3605,15,79,usa,chevrolet malibu classic (sw)
18.5,8,360,150,3940,13,79,usa,chrysler lebaron town @ country (sw)
35.7,4,98,80,1915,14.4,79,usa,dodge colt hatchback custom
27.4,4,121,80,2670,15,79,usa,amc spirit dl
23,8,350,125,3900,17.4,79,usa,cadillac eldorado
23.9,8,260,90,3420,22.2,79,usa,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.2,79,usa,plymouth horizon
34.5,4,105,70,2150,14.9,79,usa,plymouth horizon tc3
28.4,4,151,90,2670,16,79,usa,buick skylark limited
28.8,6,173,115,2595,11.3,79,usa,chevrolet citation
26.8,6,173,115,2700,12.9,79,usa,oldsmobile omega brougham
33.5,4,151,90,2556,13.2,79,usa,pontiac phoenix
32.1,4,98,70,2120,15.5,80,usa,chevrolet chevette
28,4,151,90,2678,16.5,80,usa,chevrolet citation
26.4,4,140,88,2870,18.1,80,usa,ford fairmont
24.3,4,151,90,3003,20.1,80,usa,amc concord
19.1,6,225,90,3381,18.7,80,usa,dodge aspen
27.9,4,156,105,2800,14.4,80,usa,dodge colt
27.2,4,135,84,2490,15.7,81,usa,plymouth reliant
26.6,4,151,84,2635,16.4,81,usa,buick skylark
25.8,4,156,92,2620,14.4,81,usa,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,81,usa,chevrolet citation
30,4,135,84,2385,12.9,81,usa,plymouth reliant
39,4,86,64,1875,16.4,81,usa,plymouth champ
34.7,4,105,63,2215,14.9,81,usa,plymouth horizon 4
34.4,4,98,65,2045,16.2,81,usa,ford escort 4w
29.9,4,98,65,2380,20.7,81,usa,ford escort 2h
22.4,6,231,110,3415,15.8,81,usa,buick century
26.6,8,350,105,3725,19,81,usa,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,81,usa,ford granada gl
17.6,6,225,85,3465,16.6,81,usa,chrysler lebaron salon
28,4,112,88,2605,19.6,82,usa,chevrolet cavalier
27,4,112,88,2640,18.6,82,usa,chevrolet cavalier wagon
34,4,112,88,2395,18,82,usa,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,82,usa,pontiac j2000 se hatchback
29,4,135,84,2525,16,82,usa,dodge aries se
27,4,151,90,2735,18,82,usa,pontiac phoenix
24,4,140,92,2865,16.4,82,usa,ford fairmont futura
38,4,105,63,2125,14.7,82,usa,plymouth horizon miser
36,4,98,70,2125,17.3,82,usa,mercury lynx l
25,6,181,110,2945,16.4,82,usa,buick century limited
38,6,262,85,3015,17,82,usa,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,82,usa,chrysler lebaron medallion
22,6,232,112,2835,14.7,82,usa,ford granada l
36,4,135,84,2370,13,82,usa,dodge charger 2.2
27,4,151,90,2950,17.3,82,usa,chevrolet camaro
27,4,140,86,2790,15.6,82,usa,ford mustang gl
32,4,135,84,2295,11.6,82,usa,dodge rampage
28,4,120,79,2625,18.6,82,usa,ford ranger
31,4,119,82,2720,19.4,82,usa,chevy s-10
